size,age,education,male,wage_month,wage_annual,wage_hour
1,40.7,6,0,337.2,4784.7,2.318169
3,24.5,6,0,287.2,3566.9,1.651343
2,24.5,6,0,236.7,2859.5,1.426896
1,24.5,6,0,250,3127.8,1.456145
3,27.6,6,0,332.9,4936.6,2.272836
2,27.6,6,0,308,4478.9,2.085149
1,28,6,0,262.2,3683.6,1.774374
3,32.3,6,0,411.9,6117.2,2.880038
2,32.5,6,0,332.5,5000.4,2.46568
1,32.2,6,0,354,4666.9,2.274318
3,37.6,6,0,455.9,6817.5,3.381696
2,37.3,6,0,392.9,5840.2,2.813199
1,37.5,6,0,303.3,4329.8,2.110039
3,42.6,6,0,460.3,7014.1,3.458629
2,42.6,6,0,421,6534.5,3.16594
1,42.6,6,0,350.5,5164.5,2.531618
3,47.4,6,0,506.5,8147.1,3.993676
2,47.5,6,0,505.5,7868.5,3.857108
1,48,6,0,306.1,4368.7,2.068513
3,52.3,6,0,603.3,9393.4,4.659425
2,52.3,6,0,501.6,7838.4,3.819883
1,52.3,6,0,454.2,6900.9,3.485303
3,56.9,6,0,565.3,9024.2,4.423627
2,57.2,6,0,683.7,10108.7,5.105404
1,57.7,6,0,440.7,6665.2,3.210597
3,62.2,6,0,635.8,9878.3,5.050256
2,62.5,6,0,569.1,8909.3,4.47254
1,62.8,6,0,391.5,5668.6,2.845683
3,68,6,0,1038.1,14288.6,6.689419
2,67.2,6,0,486.3,7206,3.61747
1,68,6,0,342.4,4343.3,2.104312
