ID,name,year,win_rate,n_games,era,strike_out,error,batting,homerun,ribby,stolen_base
3,読売ジャイアンツ,2001,53.5714286,140,4.45,981,659,27.1,196,663,64
3,読売ジャイアンツ,2002,61.4285714,140,3.04,1087,485,27.2,186,660,69
3,読売ジャイアンツ,2003,50.7142857,140,4.43,1123,681,26.2,205,624,71
3,読売ジャイアンツ,2004,51.4492754,138,4.5,1105,677,27.49,259,719,25
7,福岡ダイエーホークス,1994,53.0769231,130,4.1,756,592,27.5,132,576,67
7,福岡ダイエーホークス,1995,41.5384615,130,4.16,780,580,25.86,94,469,105
7,福岡ダイエーホークス,1996,41.5384615,130,4.04,823,565,26.3,97,516,140
7,福岡ダイエーホークス,1997,46.6666667,135,4.26,861,610,26.4,132,564,94
7,福岡ダイエーホークス,1998,49.6296296,135,4.02,719,596,26.37,100,507,89
7,福岡ダイエーホークス,1999,57.7777778,135,3.65,878,553,25.73,140,542,80
7,福岡ダイエーホークス,2000,54.0740741,135,4.03,792,584,26.8,129,610,57
7,福岡ダイエーホークス,2001,54.2857143,140,4.49,760,684,27.3,203,719,98
7,福岡ダイエーホークス,2002,52.1428571,140,3.856107,902,578,26.7,160,606,72
7,福岡ダイエーホークス,2003,58.5714286,140,3.94,1126,588,29.7,154,794,147
7,福岡ダイエーホークス,2004,57.8947368,133,4.58,923,651,29.2,183,706,84
11,北海道日本ハムファイターズ,1994,35.3846154,130,4.62,755,637,25.2,101,459,80
11,北海道日本ハムファイターズ,1995,45.3846154,130,3.56,831,503,23.7,105,456,68
11,北海道日本ハムファイターズ,1996,52.3076923,130,3.49,770,502,24.9,130,502,69
11,北海道日本ハムファイターズ,1997,46.6666667,135,4.18,682,600,26.5,128,539,63
11,北海道日本ハムファイターズ,1998,49.6296296,135,3.83,703,571,25.5,150,599,91
11,北海道日本ハムファイターズ,1999,44.4444444,135,4.34,761,625,26,148,587,67
11,北海道日本ハムファイターズ,2000,51.1111111,135,4.7,793,664,27.8,177,735,107
11,北海道日本ハムファイターズ,2001,37.8571429,140,4.79,923,713,25.57,147,570,95
11,北海道日本ハムファイターズ,2002,43.5714286,140,3.856105,921,570,24.69,146,486,72
11,北海道日本ハムファイターズ,2003,44.2857143,140,4.88,734,738,26.9,149,645,90
11,北海道日本ハムファイターズ,2004,49.6240602,133,4.72,843,697,28.1,178,702,45
