female,age,income,educ,value_family,social_class,LDP,DPJ,COM,marriage
0,21,100,9,4,4,0,0,0,0
0,34,400,16,2,7,1,0,0,1
1,33,50,14,4,4,0,0,0,1
0,22,100,14,3,5,0,0,0,0
1,23,300,14,5,4,0,0,0,0
1,28,200,18,3,7,0,1,0,1
0,30,400,12,3,3,0,0,1,0
0,23,200,14,4,6,1,0,0,0
0,25,300,16,4,7,0,0,0,0
0,26,400,16,3,2,0,0,0,0
1,24,300,16,3,4,0,0,0,0
0,27,200,12,3,4,0,0,0,0
0,29,200,14,1,2,0,0,0,0
0,28,300,16,1,5,1,0,0,0
0,21,200,14,4,4,0,0,0,0
1,24,0,12,3,6,0,0,0,1
1,23,100,14,3,4,0,0,0,0
0,34,200,14,1,4,0,0,0,1
1,23,200,14,4,5,0,0,0,0
0,21,100,12,3,3,0,0,0,0
1,31,300,16,2,5,0,0,0,1
1,32,100,14,3,4,0,0,0,0
0,29,500,16,4,7,0,0,0,1
1,27,500,14,2,6,1,0,0,0
0,30,300,12,4,6,0,0,0,1
0,30,500,16,4,7,0,0,0,1
0,30,200,12,3,6,1,0,0,0
0,30,500,18,2,6,0,1,0,0
1,34,100,12,1,3,0,0,0,1
0,34,1000,14,4,5,0,0,0,1
0,35,400,16,2,5,0,0,0,0
1,33,300,12,4,6,0,0,0,0
1,27,100,9,1,3,0,0,0,0
0,29,0,14,4,1,0,0,0,0
1,25,400,14,1,5,0,1,0,0
1,24,200,14,1,4,0,0,1,0
1,22,200,14,4,4,0,0,0,0
1,23,100,16,3,7,0,0,0,0
0,34,300,18,4,7,0,1,0,0
1,30,200,14,1,6,0,0,0,1
0,30,500,16,1,7,0,0,0,0
0,26,200,16,1,4,0,0,0,0
0,29,400,14,4,6,0,1,0,0
1,27,0,14,1,5,0,0,0,1
0,21,100,14,1,5,0,0,0,0
0,25,300,14,4,3,0,0,0,0
0,24,200,9,5,2,1,0,0,1
1,32,500,16,4,6,1,0,0,0
1,22,200,14,4,6,0,0,0,0
0,24,200,9,4,2,0,0,0,0
0,33,400,12,4,6,0,0,0,0
1,34,0,14,4,6,0,0,0,1
1,24,200,16,3,5,0,1,0,0
0,32,300,14,3,6,0,0,0,0
0,28,400,18,1,5,0,0,0,0
1,30,300,16,2,8,0,0,0,1
0,24,200,12,3,3,1,0,0,0
0,30,300,18,4,1,1,0,0,0
1,34,50,14,1,6,0,0,0,1
1,30,200,12,4,4,0,0,0,0
1,30,300,14,1,6,0,0,0,1
1,24,200,14,1,7,0,0,0,0
0,34,400,14,2,6,1,0,0,1
0,28,400,16,2,8,0,0,0,1
0,25,0,16,1,4,0,0,0,0
0,33,500,16,2,5,0,0,0,1
0,34,500,16,1,5,0,1,0,1
0,33,700,12,1,10,0,0,0,1
0,34,400,12,4,6,0,0,0,1
0,26,200,14,3,3,0,0,0,0
1,35,25,12,2,6,1,0,0,1
0,31,200,12,1,5,0,1,0,0
1,24,0,14,2,6,0,0,0,1
