rent,service,walk,bus,floor,age,autolock,catv,station,terminal,express,line
7.1,5,7,0,17,16,YES,0,denenchofu,12,1,tokyu
7.6,6,7,0,20,6,NO,0,omori,6,0,jr
11,4,9,0,52,20,NO,0,omori_machi,11,0,keikyu
15,0,10,0,52,20,NO,0,jiyugaoka,14,0,tokyu
17.8,0,8,0,55,0,YES,1,kamata,9,0,jr
10.8,3,2,10,36,18,NO,0,jiyugaoka,14,0,tokyu
10,5,11,0,38,10,YES,0,tamagawa,13,1,tokyu
9.5,3,7,0,23,19,NO,0,nakameguro,4,1,tokyu
13.2,3,10,0,37,0,YES,1,jiyugaoka,14,0,tokyu
7.3,5,10,0,19,18,YES,0,jiyugaoka,14,0,tokyu
15,0,3,0,58,27,YES,0,omori_kaigan,8,0,keikyu
9.5,5,2,0,26,6,YES,1,motosumiyoshi,20,0,tokyu
11.9,3,6,0,30,6,YES,0,nakameguro,4,1,tokyu
11.8,2,12,0,32,17,NO,0,gakugeidai,7,1,tokyu
7.4,5,4,0,16,16,YES,1,oimachi,3,0,jr
13,3,2,8,47,11,NO,0,jiyugaoka,14,0,tokyu
9.9,6,9,0,32,0,YES,1,omori,6,0,jr
10.8,4,6,0,39,15,NO,0,heiwajima,7,1,keikyu
9.8,5,3,0,30,8,YES,0,tamagawa,13,1,tokyu
15.8,0,8,0,39,7,YES,1,jiyugaoka,14,0,tokyu
16.5,0,10,0,41,3,YES,0,jiyugaoka,14,0,tokyu
7.2,6.5,1,0,18,8,YES,0,toritsudai,10,0,tokyu
9.4,6,8,0,33,6,NO,0,kamata,9,0,jr
11.4,4,6,0,44,15,NO,0,heiwajima,7,1,keikyu
9.8,4,6,0,36,22,YES,0,shinmaruko,17,0,tokyu
11.6,4,1,0,28,1,YES,1,gakugeidai,7,1,tokyu
9,6,7,0,21,1,YES,1,jiyugaoka,14,0,tokyu
14.2,2.5,8,0,41,3,YES,0,denenchofu,12,1,tokyu
5.6,6,8,0,15,25,NO,0,kamata,9,0,jr
9.7,5,18,0,52,29,NO,0,musashikosugi,13,1,tokyu
9.7,5,18,0,52,29,NO,0,musashikosugi,13,1,tokyu
9.7,5,18,0,52,29,NO,0,musashikosugi,13,1,tokyu
9.7,5,18,0,52,29,NO,0,musashikosugi,13,1,tokyu
5.9,6,6,0,14,22,NO,0,denenchofu,12,1,tokyu
8.9,7,5,0,30,2,YES,1,tsurumi,18,0,jr
9.8,5,18,0,52,29,NO,0,musashikosugi,13,1,tokyu
16.2,3,8,0,65,3,NO,0,omori,6,0,jr
7.5,5,7,0,23,25,NO,0,yutenji,7,1,tokyu
12,3,12,0,49,25,NO,0,toritsudai,10,0,tokyu
18.5,0,13,0,74,16,NO,0,omori,6,0,jr
12.7,5,11,0,48,2,YES,0,omori,6,0,jr
7,7,2,0,17,8,YES,1,nishi_oi,5,0,jr
9.6,6,5,0,26,2,YES,1,oimachi,3,0,jr
14.4,0,9,0,57,37,NO,1,nakameguro,4,1,tokyu
8.200001,8,3,15,53,19,NO,0,tsurumi,18,0,jr
6.5,7,6,0,16,12,YES,0,oimachi,3,0,jr
7.5,6,7,0,21,16,NO,1,gakugeidai,7,1,tokyu
8.34,7.1,10,0,21,0,YES,1,toritsudai,10,0,tokyu
17.8,0,1,0,58.14,10,NO,0,aomono_yokocho,3,1,keikyu
10.4,5,9,0,26,5,YES,1,gakugeidai,7,1,tokyu
17.8,0,2,0,55,9,YES,1,keikyu_kamata,7,1,keikyu
8.540001,7.1,10,0,21,0,YES,1,toritsudai,10,0,tokyu
13.5,0,7,0,44,36,NO,0,jiyugaoka,14,0,tokyu
6.5,7,14,0,16,14,YES,0,toritsudai,10,0,tokyu
5.400001,7.7,8,0,15,17,NO,0,shinmaruko,17,0,tokyu
14.6,3,9,0,53,10,NO,0,denenchofu,12,1,tokyu
8,5,4,0,20,22,YES,1,oimachi,3,0,jr
8.75,7,5,0,23.2,2,NO,1,kita_shinagawa,1,0,keikyu
6.9,7,4,0,20,15,YES,0,tsurumi,18,0,jr
12.3,3,9,0,28,10,NO,0,yutenji,7,1,tokyu
9.8,5,6,0,26,13,YES,0,toritsudai,10,0,tokyu
8,6,7,0,21,16,NO,1,gakugeidai,7,1,tokyu
16.6,0,10,0,49,17,NO,1,toritsudai,10,0,tokyu
15,0,6,0,48,30,NO,0,toritsudai,10,0,tokyu
18.1,0,8,0,64,18,YES,1,toritsudai,10,0,tokyu
12.9,7,19,0,62,2,YES,1,tsurumi,18,0,jr
8.299999,8,7,0,34,10,NO,0,shinmaruko,17,0,tokyu
11,5,8,0,61,34,NO,0,tsurumi,18,0,jr
9,8,2,0,32,3,YES,1,tsurumi,18,0,jr
16.9,0,3,0,33,5,YES,1,daikanyama,3,0,tokyu
8.5,5,5,0,39,38,NO,1,umeyashiki,13,0,keikyu
7,8.28,8,0,18,7,YES,1,omori,6,0,jr
16,0,3,0,43,21,NO,0,daikanyama,3,0,tokyu
6,8,10,0,17,17,YES,0,omori,6,0,jr
17.5,0,7,0,47,12,YES,0,jiyugaoka,14,0,tokyu
16.6,0,3,0,46,19,YES,1,gakugeidai,7,1,tokyu
16.5,0,6,0,46,20,NO,0,nakameguro,4,1,tokyu
17.5,0,8,0,50,15,YES,0,toritsudai,10,0,tokyu
7.9,8,6,0,22,6,YES,0,shinmaruko,17,0,tokyu
7.9,8,6,0,22,6,YES,0,shinmaruko,17,0,tokyu
8.5,7,11,0,19,7,YES,1,gakugeidai,7,1,tokyu
6.200001,8.32,11,0,16,13,YES,1,omori,6,0,jr
6.6,7,9,0,16,21,NO,0,jiyugaoka,14,0,tokyu
12.2,5,11,0,38,10,YES,0,tamagawa,13,1,tokyu
13.5,0,6,0,31,35,NO,0,gakugeidai,7,1,tokyu
16.8,0,6,0,55,27,NO,0,daikanyama,3,0,tokyu
7,8,8,0,22,16,YES,0,tsurumi,18,0,jr
16,3,8,0,52,7,YES,1,denenchofu,12,1,tokyu
12.2,3,7,0,27,19,YES,1,jiyugaoka,14,0,tokyu
7.2,8.7,10,0,19,7,YES,0,omori,6,0,jr
8.8,6.5,5,0,24,16,NO,0,gakugeidai,7,1,tokyu
8.3,7,11,0,21,14,YES,0,jiyugaoka,14,0,tokyu
16.3,3.5,8,0,65,12,NO,0,motosumiyoshi,20,0,tokyu
7.5,8,6,0,21,13,YES,1,omori_kaigan,8,0,keikyu
6.3,8,4,0,16,19,NO,0,denenchofu,12,1,tokyu
7,8,11,0,18,15,NO,0,yutenji,7,1,tokyu
16.5,0,7,0,55,32,NO,1,gakugeidai,7,1,tokyu
8.8,7,11,0,24,14,YES,0,jiyugaoka,14,0,tokyu
7.8,7,3,0,21,20,NO,0,yutenji,7,1,tokyu
6.799999,10,5,0,35,15,NO,0,tsurumi_shijo,21,0,keikyu
6.45,8.7,11,0,16,14,NO,0,omori,6,0,jr
19,0,5,0,64,21,NO,0,oimachi,3,0,jr
18,0,1,0,33,5,YES,0,daikanyama,3,0,tokyu
20,0,12,0,65,15,NO,0,jiyugaoka,14,0,tokyu
18.7,0,11,0,50,14,YES,0,jiyugaoka,14,0,tokyu
10.2,9,1,7,50,10,NO,0,kawasaki,9,1,jr
7.4,8,4,0,18,17,YES,0,denenchofu,12,1,tokyu
13.5,5,12,0,31,2,YES,0,jiyugaoka,14,0,tokyu
8.95,9.8,6,0,41,8,YES,0,hacho_nawate,20,0,keikyu
12.5,7,9,0,45,5,YES,1,omori,6,0,jr
10.3,5,3,0,34.7,32,YES,0,shin_banba,3,0,keikyu
5.4,9,5,0,10,20,NO,0,oimachi,3,0,jr
15,3.5,8,0,50,18,NO,0,jiyugaoka,14,0,tokyu
7.8,8,4,0,20,17,YES,0,denenchofu,12,1,tokyu
12.7,6,4,0,32,3,YES,1,gakugeidai,7,1,tokyu
7.5,8,10,0,20,20,NO,1,toritsudai,10,0,tokyu
9.6,9,8,0,32,4,NO,1,motosumiyoshi,20,0,tokyu
14,5,5,0,33,2,YES,1,gakugeidai,7,1,tokyu
13.2,5,5,0,51,24,NO,0,omori,6,0,jr
10,8,15,0,40,17,NO,0,omori,6,0,jr
10.5,5,7,0,30,30,NO,0,jiyugaoka,14,0,tokyu
14,5,6,0,42,11,YES,1,denenchofu,12,1,tokyu
13.5,5,8,0,44,18,NO,0,toritsudai,10,0,tokyu
12.5,5,1,0,40,24,NO,0,nishi_oi,5,0,jr
14,5,13,0,44,15,YES,0,jiyugaoka,14,0,tokyu
13.2,5,6,0,38,17,YES,0,toritsudai,10,0,tokyu
15,5,12,0,50,12,YES,0,jiyugaoka,14,0,tokyu
15,0,2,0,26,40,YES,1,daikanyama,3,0,tokyu
7,10,13,0,19,19,YES,0,tamagawa,13,1,tokyu
8.8,7,10,0,23,39,NO,0,nakameguro,4,1,tokyu
14.5,4,5,0,56,44,NO,0,denenchofu,12,1,tokyu
8.799999,10,6,0,24,22,NO,0,nakameguro,4,1,tokyu
18.3,0,9,0,35,37,YES,1,toritsudai,10,0,tokyu
12.9,7,10,0,32,39,NO,1,nakameguro,4,1,tokyu
13,7,10,0,32,39,NO,0,nakameguro,4,1,tokyu
